student_id,department,semester,course_load,study_hours_weekly,gpa,attendance_pct,has_internship,commute_minutes,scholarship
STU00001,Biology,Fall 2023,5,18.0,3.36,57.8,No,24,Department
STU00002,Mathematics,Fall 2023,5,9.2,2.21,96.5,No,34,Athletic
STU00003,Business,Fall 2024,4,26.4,2.69,61.3,No,32,Need-based
STU00004,Engineering,Fall 2023,5,19.5,2.78,83.4,Yes,49,None
STU00005,Engineering,Fall 2024,5,15.7,2.42,62.1,No,27,Athletic
STU00006,Engineering,Fall 2023,4,11.7,2.26,71.5,No,18,Athletic
STU00007,Business,Fall 2024,4,12.8,2.83,73.0,No,,Merit
STU00008,Biology,Fall 2024,4,13.8,2.78,69.6,No,12,Athletic
STU00009,Business,Fall 2023,5,14.6,2.73,73.2,Yes,17,Athletic
STU00010,Business,Fall 2024,4,11.0,2.99,75.7,No,11,None
STU00011,Computer Science,Fall 2023,3,21.6,2.38,82.2,No,42,Merit
STU00012,Business,Spring 2024,4,18.5,2.96,95.5,No,14,Department
STU00013,Business,Fall 2024,5,9.1,2.7,80.3,No,30,Merit
STU00014,Mathematics,Fall 2023,4,8.3,2.5,91.1,No,30,Athletic
STU00015,Biology,Fall 2024,4,9.2,2.61,61.9,No,37,None
STU00016,Engineering,Fall 2024,3,14.0,2.33,94.0,No,5,Athletic
STU00017,Engineering,Fall 2023,5,14.5,2.29,90.8,Yes,13,Athletic
STU00018,Computer Science,Fall 2023,4,21.1,3.23,75.0,Yes,41,Merit
STU00019,Computer Science,Fall 2023,3,13.2,2.45,85.9,Yes,,Need-based
STU00020,Business,Fall 2023,5,23.2,2.8,81.7,No,40,Need-based
STU00021,Biology,Fall 2024,4,15.6,2.1,77.3,No,18,Merit
STU00022,Mathematics,Spring 2024,5,12.8,2.39,87.2,No,33,Merit
STU00023,Business,Spring 2024,4,8.2,2.61,100,No,23,Athletic
STU00024,Business,Spring 2024,6,13.3,2.24,74.8,No,40,Department
STU00025,Business,Spring 2024,5,11.9,3.22,84.3,Yes,36,Department
STU00026,Biology,Fall 2024,3,1.0,2.12,91.3,No,35,None
STU00027,Mathematics,Spring 2024,3,18.0,2.44,65.2,No,34,Need-based
STU00028,Computer Science,Spring 2024,3,23.7,3.35,78.0,No,5,Merit
STU00029,Mathematics,Fall 2023,4,12.3,3.18,52.7,No,33,Need-based
STU00030,Mathematics,Fall 2023,3,18.9,2.74,71.3,No,22,Department
